city,population,vc,vcPC,vcRank,murder,murderPC,murderRank,rape,rapePC,rapeRank,rapetwo,rapetwoPC,rapetwoRank,robbery,robberPC,robberyRank,agassault,agassaultPC,agassaultRank,pc,pcPC,pcRank,burglary,burglaryPC,burglaryRank,larceny,larcenyPC,larcenyRank,mvtheft,mvtheftPC,mvtheftRank,arson,arsonPC,arsonRank
Des Moines,31335,112,357,36,3,10,9,18,57,36,,0,98,53,169,8,38,121,67,963,3073,82,167,533,91,614,1959,91,182,581,19,1,3,101
Dupont,9597,9,94,128,0,0,113,1,10,115,,0,98,1,10,121,7,73,109,76,792,175,13,135,172,60,625,172,3,31,163,1,10,88
Duvall,7882,2,25,166,0,0,113,0,0,154,,0,98,0,0,158,2,25,146,49,622,180,8,101,174,38,482,178,3,38,161,1,13,76
East Wenatchee,13575,13,96,127,1,7,14,1,7,121,,0,98,2,15,115,9,66,115,419,3087,81,63,464,110,330,2431,74,26,192,91,3,22,45
Eatonville,2893,7,242,57,0,0,113,1,35,67,,0,98,0,0,158,6,207,39,47,1625,144,13,449,115,28,968,149,6,207,86,1,35,22
Edgewood,9844,10,102,126,0,0,113,0,0,154,,0,98,2,20,104,8,81,102,222,2255,111,84,853,48,121,1229,132,17,173,103,0,0,145
Edmonds,41187,63,153,90,0,0,113,8,19,91,,0,98,18,44,69,37,90,94,1057,2566,95,207,503,102,760,1845,98,90,219,82,6,15,68
Ellensburg,18899,26,138,97,0,0,113,5,26,80,,0,98,7,37,77,14,74,108,579,3064,83,95,503,101,453,2397,78,31,164,105,3,16,60
Elma,2997,4,133,101,0,0,113,1,33,69,,0,98,0,0,158,3,100,87,134,4471,48,34,1134,20,91,3036,50,9,300,61,0,0,145
Enumclaw,11657,5,43,156,0,0,113,2,17,98,,0,98,1,9,122,2,17,148,327,2805,87,51,438,118,240,2059,87,36,309,56,0,0,145
Ephrata,8114,11,136,98,0,0,113,0,0,154,,0,98,4,49,64,7,86,98,392,4831,40,73,900,41,290,3574,34,29,357,50,1,12,79
Everett,107633,422,392,29,5,5,25,44,41,60,,0,98,148,138,14,225,209,38,6198,5758,17,974,905,40,4316,4010,20,908,844,8,33,31,31
Everson,4050,0,0,178,0,0,113,0,0,154,,0,98,0,0,158,0,0,171,33,815,174,1,25,179,31,765,166,1,25,168,0,0,145
Federal Way,94424,368,390,31,4,4,28,43,46,50,,0,98,151,160,9,170,180,43,5106,5408,25,662,701,67,3698,3916,26,746,790,13,14,15,66
Ferndale,13029,17,130,106,0,0,113,2,15,102,,0,98,1,8,124,14,107,80,304,2333,106,51,391,126,239,1834,99,14,107,133,0,0,145
Fife,9642,93,965,1,0,0,113,12,124,3,,0,98,25,259,2,56,581,1,763,7913,4,127,1317,11,528,5476,8,108,1120,3,0,0,145
Fircrest,6701,11,164,85,0,0,113,0,0,154,,0,98,3,45,66,8,119,69,168,2507,97,37,552,86,115,1716,107,16,239,78,1,15,65
